"reading_id","node_name","temperature","humidity","light_intensity","timeposted"
"298","Node2","25.8","82.2","1387","2024-12-09 23:35:32"
"299","Node2","25.8","82.2","1390","2024-12-09 23:35:37"
"300","Node2","25.8","82.2","1382","2024-12-09 23:35:42"
"301","Node2","25.8","82.2","1382","2024-12-09 23:35:47"
"302","Node2","25.8","82.1","1383","2024-12-09 23:35:52"
"303","Node2","25.8","82.1","1375","2024-12-09 23:35:57"
"304","Node2","25.8","82.1","1370","2024-12-09 23:36:02"
"305","Node2","25.8","82.1","1350","2024-12-09 23:36:07"
"306","Node2","25.8","82.1","1371","2024-12-09 23:36:12"
"307","Node2","25.8","82.1","1371","2024-12-09 23:36:17"
"308","Node2","25.8","82","1367","2024-12-09 23:36:22"
"309","Node2","25.8","82.1","1359","2024-12-09 23:36:27"
"310","Node2","25.9","82","1377","2024-12-09 23:36:32"
"311","Node2","25.9","82","1360","2024-12-09 23:36:37"
"312","Node2","25.9","82","1360","2024-12-09 23:36:42"
"313","Node2","25.9","82","1360","2024-12-09 23:36:47"
"314","Node2","25.8","81.9","1383","2024-12-09 23:36:52"
"315","Node2","25.8","81.9","1387","2024-12-09 23:36:57"
"316","Node2","25.9","82","1414","2024-12-09 23:37:02"
"317","Node2","25.8","82","1361","2024-12-09 23:37:07"
"318","Node2","25.8","82","1360","2024-12-09 23:37:12"
"319","Node2","25.8","82","1360","2024-12-09 23:37:17"
"320","Node2","25.8","82","1362","2024-12-09 23:37:22"
"321","Node2","25.8","82","1375","2024-12-09 23:37:27"
"322","Node2","25.8","82","1351","2024-12-09 23:37:32"
"323","Node2","25.8","82.1","1364","2024-12-09 23:37:37"
"324","Node2","25.8","82.1","1349","2024-12-09 23:37:42"
"325","Node2","25.8","82.2","1349","2024-12-09 23:37:47"
"326","Node2","25.7","82.2","1375","2024-12-09 23:37:52"
"327","Node2","25.7","82.2","1339","2024-12-09 23:37:57"
"328","Node2","25.7","82.2","1361","2024-12-09 23:38:02"
"329","Node2","25.7","82.3","1360","2024-12-09 23:38:07"
"330","Node2","25.7","82.3","1377","2024-12-09 23:38:12"
"331","Node2","25.7","82.3","1377","2024-12-09 23:38:17"
"332","Node2","25.7","82.3","1360","2024-12-09 23:38:22"
"333","Node2","25.7","82.3","1376","2024-12-09 23:38:27"
"334","Node2","25.7","82.3","1375","2024-12-09 23:38:32"
"335","Node2","25.7","82.3","1341","2024-12-09 23:38:37"
"336","Node2","25.7","82.3","1319","2024-12-09 23:38:42"
"337","Node2","25.7","82.3","1319","2024-12-09 23:38:47"
"338","Node2","25.7","82.3","1351","2024-12-09 23:38:52"
"339","Node2","25.7","82.3","1296","2024-12-09 23:38:57"
"340","Node2","25.7","82.3","1360","2024-12-09 23:39:02"
"341","Node2","25.7","82.3","1358","2024-12-09 23:39:07"
"342","Node2","25.7","82.3","1348","2024-12-09 23:39:12"
